openfema_policy_id,match_key,match_type,match_precision,num_matches
3381ca10-c691-4e0b-ae5e-8854806c5266,(match_latitude==34.8)&(match_longitude==-77.9)&(match_censusBlockGroupFips==370610907012)&(match_sfhaIndicator==0)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28466)&(match_simplifiedOccupancyType==residential_single_family),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,494
c9a4966a-4983-4f6c-83ea-8217e81d3594,(match_latitude==34.0)&(match_longitude==-78.0)&(match_censusBlockGroupFips==370190202042)&(match_sfhaIndicator==0)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28461)&(match_simplifiedOccupancyType==residential_single_family),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,314
a245ff4e-1fee-44e7-8753-25d942f1119d,(match_latitude==34.2)&(match_longitude==-77.9)&(match_censusBlockGroupFips==371290120062)&(match_sfhaIndicator==0)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28412)&(match_simplifiedOccupancyType==residential_single_family),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,718
6cca1eec-d7bb-4a84-a985-c154053110dc,(match_latitude==35.5)&(match_longitude==-76.6)&(match_censusBlockGroupFips==370139307001)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==27810)&(match_simplifiedOccupancyType==residential_single_family),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,65
cd5c2a99-df95-4682-873c-613472954cb3,(match_latitude==35.0)&(match_longitude==-76.7)&(match_censusBlockGroupFips==370499613031)&(match_sfhaIndicator==0)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28532)&(match_simplifiedOccupancyType==residential_single_family),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,38
e259a42f-edc0-4f2f-9d0b-c3578b836642,(match_latitude==34.7)&(match_longitude==-76.9)&(match_censusBlockGroupFips==370319709031)&(match_sfhaIndicator==0)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28594)&(match_simplifiedOccupancyType==residential_two_to_four_family),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,25
d5a538f0-826b-4240-9948-48755495cac0,(match_latitude==35.1)&(match_longitude==-80.9)&(match_censusBlockGroupFips==371190031082)&(match_sfhaIndicator==0)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28210)&(match_simplifiedOccupancyType==residential_single_family),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,522
9be6078c-836f-48dc-8f2d-207fec5dd78b,(match_latitude==34.2)&(match_longitude==-77.8)&(match_censusBlockGroupFips==371290118001)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28480)&(match_simplifiedOccupancyType==non_residential),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,116
50492545-71cf-4035-a493-6ef302087250,(match_latitude==35.8)&(match_longitude==-78.7)&(match_censusBlockGroupFips==371830530113)&(match_sfhaIndicator==0)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==27606)&(match_simplifiedOccupancyType==residential_single_family),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,125
540bb10a-d4e2-42f9-a707-3237732b9cc5,(match_latitude==35.5)&(match_longitude==-76.5)&(match_censusBlockGroupFips==370959201001)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==27875)&(match_simplifiedOccupancyType==residential_single_family),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,89
